bin,conf,acc,cnt
0,0.05010212405900772,0.1230703780235809,16454
1,0.14589359397324825,0.2607206142941524,8465
2,0.24908478947861193,0.37095449318219154,6087
3,0.3498781868072538,0.4606585788561525,5770
4,0.4495793725454754,0.5486803006467401,5721
5,0.5498267169189337,0.6308554892385603,5529
6,0.6497757746231554,0.7323807684881252,5179
7,0.7520014925472102,0.8128255793066284,5567
8,0.8523358503388673,0.8782337198929527,6726
9,0.9803864608744863,0.9685625307326667,30505
