gt_word,n,acc
경기도,1040,0.9442307692307692
강원도,990,0.8626262626262626
대전광역시,968,0.9297520661157025
대구광역시,960,0.859375
전라북도,960,0.8885416666666667
서울특별시,956,0.9822175732217573
경상북도,948,0.869198312236287
울산광역시,946,0.8816067653276956
전라남도,945,0.8476190476190476
세종특별자치시,939,0.9808306709265175
부산광역시,937,0.9242262540021344
경상남도,932,0.24141630901287553
충청남도,931,0.8453276047261009
충청북도,927,0.9018338727076591
제주특별자치도,922,0.982646420824295
광주광역시,908,0.9008810572687225
인천광역시,904,0.8993362831858407
(T_T),369,0.6964769647696477
창원시,358,0.6871508379888268
수원시,297,0.8518518518518519
청주시,291,0.7663230240549829
(T.T),288,0.71875
~(-_-)~,288,0.9722222222222222
'-_-+,286,0.9965034965034965
^.~,278,0.7589928057553957
'>_<),271,0.9188191881918819
고양시,265,0.8301886792452831
^^;,263,0.8136882129277566
(ㅅ_ㅅ),262,0.9274809160305344
8-),258,0.8682170542635659
